=== RUN TestEsportsPatch684p1
read replay 1458895412 from replays/1458895412.dem
yasha.(*OuterParser).Analyze: got a sendtable yo
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=711 serial=905 index=0 handle=1853440 name=DT_WORLD
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=156 index=62 handle=319550 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=8 index=63 handle=16447 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=828 index=64 handle=1695808 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=112 index=65 handle=229441 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=560 index=66 handle=1146946 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=788 index=67 handle=1613891 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=80 index=68 handle=163908 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=311 index=69 handle=636997 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=1021 index=70 handle=2091078 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=726 index=71 handle=1486919 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=909 index=72 handle=1861704 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=33 index=73 handle=67657 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=768 index=74 handle=1572938 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=265 index=75 handle=542795 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=231 index=76 handle=473164 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=997 index=77 handle=2041933 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=914 index=78 handle=1871950 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=442 index=79 handle=905295 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=274 index=80 handle=561232 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=310 index=81 handle=634961 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=61 index=82 handle=125010 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=341 serial=642 index=83 handle=1314899 name=DT_DOTA_DataRadiant
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=339 serial=794 index=84 handle=1626196 name=DT_DOTA_DataDire
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=342 serial=180 index=85 handle=368725 name=DT_DOTA_DataSpectator
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=557 serial=635 index=86 handle=1300566 name=DT_DOTAGamerulesProxy
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=414 serial=422 index=87 handle=864343 name=DT_DOTA_Unit_Announcer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=414 serial=1006 index=88 handle=2060376 name=DT_DOTA_Unit_Announcer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=414 serial=435 index=89 handle=890969 name=DT_DOTA_Unit_Announcer
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=415 serial=33 index=90 handle=67674 name=DT_DOTA_Unit_Announcer_Killing_Spree
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=415 serial=964 index=91 handle=1974363 name=DT_DOTA_Unit_Announcer_Killing_Spree
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=415 serial=560 index=92 handle=1146972 name=DT_DOTA_Unit_Announcer_Killing_Spree
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=556 serial=866 index=93 handle=1773661 name=DT_DOTAGameManagerProxy
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=565 serial=665 index=94 handle=1362014 name=DT_DOTASpectatorGraphManagerProxy
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=555 serial=589 index=95 handle=1206367 name=DT_DOTAFogOfWarWasVisible
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=555 serial=567 index=96 handle=1161312 name=DT_DOTAFogOfWarWasVisible
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=554 serial=684 index=97 handle=1400929 name=DT_DOTAFogOfWarTempViewers
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=554 serial=691 index=98 handle=1415266 name=DT_DOTAFogOfWarTempViewers
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=255 index=99 handle=522339 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=68 index=100 handle=139364 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=702 index=101 handle=1437797 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=324 serial=22 index=102 handle=45158 name=DT_DOTA_BaseNPC_HallofFame
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=332 serial=943 index=103 handle=1931367 name=DT_DOTA_BaseNPC_Shop
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=1013 index=104 handle=2074728 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=139 index=105 handle=284777 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=465 index=106 handle=952426 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=184 index=107 handle=376939 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=94 index=108 handle=192620 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=340 index=109 handle=696429 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=216 index=110 handle=442478 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=332 serial=257 index=111 handle=526447 name=DT_DOTA_BaseNPC_Shop
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=273 index=112 handle=559216 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=740 index=113 handle=1515633 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=971 index=114 handle=1988722 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=992 index=115 handle=2031731 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=1018 index=116 handle=2084980 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=164 index=117 handle=335989 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=551 serial=164 index=118 handle=335990 name=DT_DOTABaseAbility
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=634 index=119 handle=1298551 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=593 index=121 handle=1214585 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=223 index=122 handle=456826 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=925 index=129 handle=1894529 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=72 index=130 handle=147586 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=391 index=131 handle=800899 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=332 serial=499 index=220 handle=1022172 name=DT_DOTA_BaseNPC_Shop
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=561 serial=352 index=223 handle=721119 name=DT_DOTAPropCustomTexture
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=463 index=252 handle=948476 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=799 index=253 handle=1636605 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=466 index=254 handle=954622 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=385 index=255 handle=788735 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=980 index=256 handle=2007296 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=706 index=257 handle=1446145 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=486 index=258 handle=995586 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=858 index=259 handle=1757443 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=763 index=260 handle=1562884 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=662 index=261 handle=1356037 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=16 index=262 handle=33030 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=105 index=263 handle=215303 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=917 index=264 handle=1878280 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=442 index=265 handle=905481 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=6 index=266 handle=12554 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=869 index=267 handle=1779979 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=221 index=268 handle=452876 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=770 index=269 handle=1577229 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=765 index=270 handle=1566990 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=281 index=271 handle=575759 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=505 index=272 handle=1034512 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=58 index=273 handle=119057 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=573 index=274 handle=1173778 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=686 index=275 handle=1405203 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=197 index=276 handle=403732 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=20 index=277 handle=41237 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=240 index=278 handle=491798 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=665 index=279 handle=1362199 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=202 index=280 handle=413976 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=266 index=281 handle=545049 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=679 index=282 handle=1390874 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=834 index=283 handle=1708315 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=720 index=284 handle=1474844 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=222 index=285 handle=454941 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=535 index=286 handle=1095966 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=294 index=287 handle=602399 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=241 index=288 handle=493856 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=48 index=289 handle=98593 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=667 index=290 handle=1366306 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=622 index=291 handle=1274147 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=317 index=292 handle=649508 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=780 index=293 handle=1597733 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=670 index=294 handle=1372454 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=715 index=295 handle=1464615 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=815 index=296 handle=1669416 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=940 index=297 handle=1925417 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=670 index=298 handle=1372458 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=494 index=299 handle=1012011 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=114 index=300 handle=233772 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=794 index=301 handle=1626413 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=971 index=302 handle=1988910 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=865 index=303 handle=1771823 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=233 index=304 handle=477488 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=636 index=305 handle=1302833 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=735 index=306 handle=1505586 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=432 index=307 handle=885043 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=196 index=308 handle=401716 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=708 index=309 handle=1450293 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=489 index=310 handle=1001782 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=222 index=311 handle=454967 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=732 index=312 handle=1499448 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=129 index=313 handle=264505 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=32 index=314 handle=65850 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=856 index=315 handle=1753403 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=499 index=316 handle=1022268 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=650 index=317 handle=1331517 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=567 index=318 handle=1161534 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=3 index=319 handle=6463 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=248 index=320 handle=508224 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=346 index=321 handle=708929 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=631 index=322 handle=1292610 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=201 index=323 handle=411971 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=627 index=324 handle=1284420 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=628 index=325 handle=1286469 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=698 index=326 handle=1429830 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=17 index=327 handle=35143 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=214 index=328 handle=438600 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=539 index=329 handle=1104201 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=396 index=330 handle=811338 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=122 index=331 handle=250187 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=476 index=332 handle=975180 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=32 index=333 handle=65869 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=502 index=334 handle=1028430 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=353 index=335 handle=723279 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=489 index=336 handle=1001808 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=39 index=337 handle=80209 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=942 index=338 handle=1929554 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=648 index=339 handle=1327443 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=625 index=340 handle=1280340 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=51 index=341 handle=104789 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=333 index=342 handle=682326 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=529 index=343 handle=1083735 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=107 index=344 handle=219480 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=867 index=345 handle=1775961 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=579 serial=279 index=346 handle=571738 name=DT_EnvDeferredLight
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=876 index=412 handle=1794460 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=432 index=413 handle=885149 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=569 index=414 handle=1165726 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=341 index=415 handle=698783 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=8 serial=267 index=417 handle=547233 name=DT_BaseEntity
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=883 index=785 handle=1809169 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=698 index=786 handle=1430290 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=778 index=787 handle=1594131 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=372 index=788 handle=762644 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=517 index=789 handle=1059605 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=449 index=790 handle=920342 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=342 index=791 handle=701207 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=485 index=792 handle=994072 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=329 index=793 handle=674585 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=456 index=794 handle=934682 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=790 index=795 handle=1618715 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=751 index=796 handle=1538844 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=698 index=797 handle=1430301 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=133 index=798 handle=273182 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=510 index=799 handle=1045279 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=75 index=800 handle=154400 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=835 index=801 handle=1710881 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=29 index=802 handle=60194 name=DT_ParticleSystem
yasha.(*Parser).entityCreate: creating pe: tick+0 classId=617 serial=197 index=803 handle=404259 name=DT_ParticleSystem
